hindi,awadhi
"अक्षरों, अर्थसमूहों, रसों, छन्‍्दों और मंगलोंकी करनेवाली सरस्वतीजी और गणेशजीकी मैं वन्दना करता हूँ॥ १ ॥",मड़लानां च कर्त्तारा बन्दे वाणीविनायकौ॥ १ ॥
"श्रद्धा और विश्वासके स्वरूप श्रीपार्वतीजी और श्रीशड्डरजीकी मैं वन्दना करता हूँ, जिनके बिना सिद्धजन अपने अन्तःकरणमें स्थित ईश्वरको नहीं देख सकते॥ २ ॥",याभ्यां विना न पश्यन्ति सिद्धाः स्वान्तःस्थमी श्वरम्‌॥ २ ॥
"ज्ञानमय, नित्य, शड्डूररूपी गुरुकी मैं वन्दना करता हूँ, जिनके आश्रित होनेसे ही टेढ़ा चन्द्रमा भी सर्वत्र वन्दित होता है॥ ३ ॥",यमाथअ्ितो हि वक्रोषपि चन्द्रः सर्वत्र वन्द्यते॥ ३ ॥
"श्रीसीतारामजीके गुणसमूहरूपी पवित्र वनमें विहार करनेवाले, विशुद्ध विज्ञानसम्पन्न कवीश्वर श्रीवाल्मीकिजी और कपीश्वर श्रीहनुमानूजीकी मैं वन्दना करता हूँ॥ ४ ॥",वन्दे विशुद्धविज्ञानौ कवीश्वरकपी श्वरौ॥ ४ ॥
"उत्पत्ति, स्थिति (पालन) और संहार करनेवाली, क्लेशोंकी हरनेवाली तथा सम्पूर्ण कल्याणोंकी करनेवाली श्रीरामचन्द्रजीकी प्रियतमा श्रीसीताजीको मैं नमस्कार करता हूँ॥ ५ ॥",सर्वश्रेयस्करीं सीतां नतोऽहं रामवलल्‍लभाम्‌॥ ५ ॥
"जिनकी मायाके वशीभूत सम्पूर्ण विश्व, ब्रह्मादि देवता और असुर हैं, जिनकी सत्तासे रस्सीमें सर्पके भ्रमकी भाँति यह सारा दृश्य-जगत्‌ सत्य ही प्रतीत होता है और जिनके केवल चरण ही  भवसागरसे तरनेकी इच्छावालोंके लिये एकमात्र नौका हैं, उन समस्त कारणोंसे पर (सब कारणोंके कारण और सबसे श्रेष्ठ) राम कहानेवाले भगवान्‌ हरिकी मैं वन्दना करता हूँ॥ ६ ॥",वन्देऽह॑ तमशेषकारणपरं रामाख्यमीशं हरिम्‌॥ ६ ॥
"अनेक पुराण, वेद और [तन्‍्त्र] शास्त्रसे सम्मत तथा जो रामायणमें वर्णित है और कुछ अन्यत्रसे  भी उपलब्ध श्रीरघुनाथजीकी कथाको तुलसीदास अपने अन्तःकरणके सुखके लिये अत्यन्त मनोहर भाषारचनामें विस्तृत करता है॥ ७ ॥",भाषानिबन्धमतिमज्जुलमातनोति॥ ७ ॥
"जिन्हें स्मरण करनेसे सब कार्य सिद्ध होते हैं, जो गणोंके स्वामी और सुन्दर हाथीके मुखवाले हैं, वे ही बुद्धिके राशि और शुभ गुणोंके धाम (श्रीगणेशजी) मुझपर कृपा करें॥ १ ॥",करउ अनुग्रह सोड़ बुद्धि रासि सुभ गुन सदन॥ १ ॥
"जिनकी कृपासे गूँगा बहुत सुन्दर बोलनेवाला हो जाता है और लँगड़ा-लूला दुर्गम पहाड़पर  चढ़ जाता है, वे कलियुगके सब पापोंको जला डालनेवाले दयालु (भगवान्‌) मुझपर द्रवित हों (दया करें),॥ २ ॥",जासु कृपा सो दयाल द्रवड सकल कलि मल दहन॥ २ ॥
"जो नील कमलके समान श्यामवर्ण हैं, पूर्ण खिले हुए लाल कमलके समान जिनके नेत्र हैं और जो सदा क्षीरसागरमें शयन करते हैं, वे भगवान्‌ (नारायण) मेरे हृदयमें निवास करें॥ ३ ॥",करउ सो मम उर धाम सदा छीरसागर सयन॥ ३ ॥
